Job_Role,Text,Clean_Text
Automation Testing,Perform regression and functional testing.,perform regression functional testing
Automation Testing,Ensure software quality and bug tracking.,ensure software quality bug tracking
Automation Testing,Integrate testing frameworks in CI/CD pipelines.,integrate testing frameworks ci cd pipelines
Electrical Engineering,Design and maintain electrical systems and circuits.,design maintain electrical systems circuits
Electrical Engineering,Work on power distribution and control systems.,work power distribution control systems
Electrical Engineering,Analyze electrical performance and safety.,analyze electrical performance safety
Electrical Engineering,Develop electrical schematics and testing.,develop electrical schematics testing
Operations Manager,Oversee daily operations and improve efficiency.,oversee daily operations improve efficiency
Operations Manager,Manage teams and operational workflows.,manage teams operational workflows
Operations Manager,Optimize business processes and performance.,optimize business processes performance
Operations Manager,Handle resource planning and logistics.,handle resource planning logistics
Python Developer,Develop applications using Python and frameworks like Django.,develop applications using python frameworks like django
Python Developer,Work on backend systems and API development.,work backend systems api development
Python Developer,Write efficient and scalable Python code.,write efficient scalable python code
Python Developer,Handle automation scripts and data processing.,handle automation scripts data processing
DevOps Engineer,Manage CI/CD pipelines and cloud deployment.,manage ci cd pipelines cloud deployment
DevOps Engineer,Automate infrastructure and monitoring systems.,automate infrastructure monitoring systems
DevOps Engineer,"Work with Docker, Kubernetes, and cloud tools.",work docker kubernetes cloud tools
DevOps Engineer,Ensure system reliability and performance.,ensure system reliability performance
Network Security Engineer,Protect systems from cyber threats and attacks.,protect systems cyber threats attacks
Network Security Engineer,"Manage firewalls, encryption, and security protocols.",manage firewalls encryption security protocols
Network Security Engineer,Monitor network activity and vulnerability assessment.,monitor network activity vulnerability assessment
Network Security Engineer,Implement security policies and risk management.,implement security policies risk management
PMO,"Manage project timelines, resources, and budgets.",manage project timelines resources budgets
PMO,Ensure project governance and reporting.,ensure project governance reporting
PMO,Coordinate between teams and stakeholders.,coordinate teams stakeholders
PMO,Track project performance and deliverables.,track project performance deliverables
Database,Design and manage databases using SQL.,design manage databases using sql
Database,Optimize queries and database performance.,optimize queries database performance
Database,"Handle data storage, backup, and recovery.",handle data storage backup recovery
Database,Ensure data integrity and security.,ensure data integrity security
Hadoop,Work with big data technologies like Hadoop and Spark.,work big data technologies like hadoop spark
Hadoop,Process large datasets and distributed systems.,process large datasets distributed systems
Hadoop,Develop data pipelines and analytics solutions.,develop data pipelines analytics solutions
Hadoop,Manage cluster and big data storage.,manage cluster big data storage
ETL Developer,Design ETL pipelines for data integration.,design etl pipelines data integration
ETL Developer,"Extract, transform, and load data efficiently.",extract transform load data efficiently
ETL Developer,Work with data warehousing solutions.,work data warehousing solutions
ETL Developer,Optimize ETL processes and workflows.,optimize etl processes workflows
DotNet Developer,Develop applications using .NET and C#.,develop applications using net c
DotNet Developer,Build web apps with ASP.NET framework.,build web apps asp net framework
DotNet Developer,Debug and maintain .NET applications.,debug maintain net applications
DotNet Developer,Work on enterprise software development.,work enterprise software development
Blockchain,Develop blockchain applications and smart contracts.,develop blockchain applications smart contracts
Blockchain,Work with Ethereum and decentralized systems.,work ethereum decentralized systems
Blockchain,Ensure security and transaction validation.,ensure security transaction validation
Blockchain,Build distributed ledger technologies.,build distributed ledger technologies
Testing,Perform software testing and quality assurance.,perform software testing quality assurance
Testing,Identify bugs and ensure system reliability.,identify bugs ensure system reliability
Testing,Execute test cases and document results.,execute test cases document results
Testing,Work on manual and automated testing.,work manual automated testing
